"Code","Description"
"U0491","Invalid Data Received From Digital Disc Player/Changer Module ""D"""
"U0492","Invalid Data Received From Television"
"U0493","Invalid Data Received From Personal Computer"
"U0494","Invalid Data Received From ""Digital Audio Control Module A"""
"U0495","Invalid Data Received From ""Digital Audio Control Module B"""
"U0496","Invalid Data Received From Subscription Entertainment Receiver Module"
"U0497","Invalid Data Received From Entertainment Control Module Rear ""A"""
"U0498","Invalid Data Received From Telephone Control Module"
"U0499","Invalid Data Received From Telematic Control Module"
"U049A","Invalid Data Received From ""Door Control Module A"""
"U0500","ISO/SAE Reserved"
"U0501","Invalid Data Received From ""Door Control Module B"""
"U0502","Invalid Data Received From ""Door Control Module C"""
"U0503","Invalid Data Received From ""Door Control Module D"""
"U0504","Invalid Data Received From ""Door Control Module E"""
"U0505","Invalid Data Received From ""Door Control Module F"""
"U0506","Invalid Data Received From ""Door Control Module G"""
"U0507","Invalid Data Received From Folding Top Control Module"
"U0508","Invalid Data Received From Moveable Roof Control Module"
"U0509","Invalid Data Received From ""Seat Control Module A"""
"U050A","Invalid Data Received From ""Seat Control Module B"""
"U050B","ISO/SAE Reserved"
"U050C","ISO/SAE Reserved"
"U050D","ISO/SAE Reserved"
"U050E","ISO/SAE Reserved"
"U050F","ISO/SAE Reserved"
"U0510","ISO/SAE Reserved"
"U0511","Invalid Data Received From ""Seat Control Module C"""
"U0512","Invalid Data Received From ""Seat Control Module D"""
"U0513","Invalid Data Received From Yaw Rate Sensor Module"
"U0514","Invalid Data Received From Mirror Control Module"
"U0515","Invalid Data Received From Remote Function Actuation"
"U0516","Invalid Data Received From ""Door Switch A"""
"U0517","Invalid Data Received From ""Door Switch B"""
"U0518","Invalid Data Received From ""Door Switch C"""
"U0519","Invalid Data Received From ""Door Switch D"""
"U051A","Invalid Data Received From ""Door Switch E"""
"U051B","ISO/SAE Reserved"
"U051C","ISO/SAE Reserved"
"U051D","ISO/SAE Reserved"
"U051E","ISO/SAE Reserved"
"U051F","ISO/SAE Reserved"
"U0520","ISO/SAE Reserved"
"U0521","Invalid Data Received From ""Door Switch F"""
"U0522","Invalid Data Received From ""Door Switch G"""
"U0523","Invalid Data Received From ""Door Window Motor A"""
"U0524","Invalid Data Received From ""Door Window Motor B"""
"U0525","Invalid Data Received From ""Door Window Motor C"""
"U0526","Invalid Data Received From ""Door Window Motor D"""
"U0527","Invalid Data Received From ""Door Window Motor E"""
"U0528","Invalid Data Received From ""Door Window Motor F"""
"U0529","Invalid Data Received From ""Door Window Motor G"""
"U052A","Invalid Data Received From Heated Steering Wheel Module"
"U052B","ISO/SAE Reserved"
"U052C","ISO/SAE Reserved"
"U052D","ISO/SAE Reserved"
"U052E","ISO/SAE Reserved"
"U052F","ISO/SAE Reserved"
"U0530","ISO/SAE Reserved"
"U0531","Invalid Data Received From Rear Gate Module"
"U0532","Invalid Data Received From Rain Sensing Module"
"U0533","Invalid Data Received From Side Obstacle Detection Control Module Left"
"U0534","Invalid Data Received From Side Obstacle Detection Control Module Right"
"U0535","Invalid Data Received From Convenience Recall Module"
"U0536","Invalid Data Received From Lateral Acceleration Sensor Module"
"U0537","Invalid Data Received From Column Lock Module"
"U0538","Invalid Data Received From ""Digital Audio Control Module C"""
"U0539","Invalid Data Received From ""Digital Audio Control Module D"""
"U053A","Invalid Data Received From Entrapment Control Module ""A"""
"U053B","Invalid Data Received From Image Processing Module ""A"""
"U053C","Invalid Data Received From Image Processing Module ""B"""
"U053D","Invalid Data Received From Image Processing Module ""C"""
"U053E","ISO/SAE Reserved"
"U053F","ISO/SAE Reserved"
"U0540","ISO/SAE Reserved"
"U0541","Invalid Data Received From Entrapment Control Module ""B"""
"U0542","Invalid Data Received From Headlamp Control Module ""A"""
"U0543","Invalid Data Received From Headlamp Control Module ""B"""
"U0544","Invalid Data Received From Parking Assist Control Module ""B"""
"U0545","Invalid Data Received From Running Board Control Module"
"U0546","Invalid Data Received From Entertainment Control Module Front"
"U0547","Invalid Data Received From ""Seat Control Module E"""
"U0548","Invalid Data Received From ""Seat Control Module F"""
"U0549","Invalid Data Received From Remote Accessory Module"
"U054A","Invalid Data Received From Entertainment Control Module Rear ""B"""
"U054B","Invalid Data Received From Interior Lighting Control Module"
"U054C","ISO/SAE Reserved"
"U054D","ISO/SAE Reserved"
"U054E","ISO/SAE Reserved"
"U054F","ISO/SAE Reserved"
"U0550","ISO/SAE Reserved"
"U0551","Invalid Data Received From Impact Classification System Module"
"U0552","Invalid Data Received From Running Board Control Module ""B"""
"U0553","Invalid Data Received From Lighting Control Module Rear ""B"""
"U0554","Invalid Data Received From Accessory Protocol Interface Module"
"U0555","Invalid Data Received From Remote Start Module"
"U0556","Invalid Data Received From Front Display Interface Module"
"U0557","Invalid Data Received From Front Controls Interface Module ""A"""
"U0558","Invalid Data Received From Front Controls/Display Interface Module"
"U0559","Invalid Data Received From Radio Transceiver"
"U055A","Invalid Data Received From Special Purpose Vehicle Control Module ""A"""
"U055B","Invalid Data Received From Special Purpose Vehicle Control Module ""B"""
"U055C","Invalid Data Received From Special Purpose Vehicle Control Module ""C"""
"U055D","Invalid Data Received From Special Purpose Vehicle Control Module ""D"""
"U055E","Invalid Data Received From Front Controls Interface Module ""B"""
"U055F","ISO/SAE Reserved"
"U0560","ISO/SAE Reserved"
"U0561","Invalid Data Received From Seat Control Switch Module ""A"""
"U0562","Invalid Data Received From Seat Control Switch Module ""B"""
"U0563","Invalid Data Received From Audio Amplifier ""B"""
"U0564","Invalid Data Received From Speech Recognition Module"
"U0565","Invalid Data Received From Camera Module Rear"
"U0566","ISO/SAE Reserved"
"U0567","ISO/SAE Reserved"
"U0568","ISO/SAE Reserved"
"U0569","ISO/SAE Reserved"
"U0570","ISO/SAE Reserved"
"U0571","ISO/SAE Reserved"
"U0572","ISO/SAE Reserved"
"U0573","ISO/SAE Reserved"
"U0574","ISO/SAE Reserved"
"U0575","ISO/SAE Reserved"
"U0576","ISO/SAE Reserved"
"U0577","ISO/SAE Reserved"
"U0578","ISO/SAE Reserved"
"U0579","ISO/SAE Reserved"
"U0580","ISO/SAE Reserved"
"U0581","ISO/SAE Reserved"
"U0582","ISO/SAE Reserved"
"U0583","ISO/SAE Reserved"
"U0584","ISO/SAE Reserved"
"U0585","ISO/SAE Reserved"
"U0586","ISO/SAE Reserved"
"U0587","Invalid Data Received From With Radiator Anti Tamper Device"
"U0588","Invalid Data Received From Transmission Fluid Pump Module"
"U0589","Invalid Data Received From DC to AC Converter Control Module ""A"""
"U058A","Invalid Data Received From DC to AC Converter Control Module ""B"""
"U058B","ISO/SAE Reserved"
"U0592","Invalid Data Received From Gear Shift Control Module ""B"""
"U0593","Invalid Data Received From Drive Motor Control Module ""B"""
"U0594","Invalid Data Received From Hybrid Powertrain Control Module"
"U0595","Invalid Data Received From Powertrain Control Monitor Module"
"U0596","Invalid Data Received From AC to AC Converter Control Module"
"U0597","Invalid Data Received From AC to DC Converter Control Module ""A"""
"U0598","Invalid Data Received From AC to DC Converter Control Module ""B"""
"U0599","Invalid Data Received From DC to DC Converter Control Module ""A"""
"U059A","Invalid Data Received From DC to DC Converter Control Module ""B"""
"U059B","Invalid Data Received From Hybrid Battery Pack Sensor Module"
"U059C","Invalid Data Received From Drive Motor Control Module ""C"""
"U059D","Invalid Data Received From Drive Motor Control Module ""D"""
"U059E","Invalid Data Received From NOX Sensor ""A"""
"U059F","Invalid Data Received From NOX Sensor ""B"""
"U1000","- CAN bus network code"
"U2000","Manufacturer Controlled DTC"
"U3000","Control Module"
"U3001","Control Module Improper Shutdown"
"U3002","Vehicle Identification Number"
"U3003","Battery Voltage"
"U3004","Accessory Power Relay"
"U3005","Retained Accessory Power"
"U3006","Control Module Input Power ""A"""
"U3007","Control Module Input Power ""B"""
"U3008","Control Module Ground ""A"""
"U3009","Control Module Ground ""B"""
"U300A","Ignition Switch"
"U300B","Ignition Input Accessory/On/Start"
"U300C","Ignition Input Off/On/Start"
"U300D","Ignition Input On/Start"
"U300E","Ignition Input On"
"U300F","Ignition Input Accessory"
"U3010","Ignition Input Start"
"U3011","Ignition Input Off"
"U3100","ISO/SAE Reserved"
